iter	Logloss
0	0.6898989303
1	0.6870905642
2	0.6837088836
3	0.6806864675
4	0.6777336272
5	0.6751871261
6	0.6724949623
7	0.6701156684
8	0.6676657674
9	0.6651127565
10	0.6627016022
11	0.6601574711
12	0.6576002412
13	0.6550767861
14	0.6527079979
15	0.6502724932
16	0.6474845108
17	0.6451566123
18	0.6430040076
19	0.6409314998
20	0.6386563247
21	0.6364956956
22	0.634300572
23	0.6319734926
24	0.629522468
25	0.6275524396
26	0.6255342124
27	0.6235172611
28	0.6215515793
29	0.6194314273
30	0.6173865002
31	0.6153200209
32	0.6134563311
33	0.6118449436
34	0.609920869
35	0.6082281938
36	0.6064501423
37	0.6048218025
38	0.6031353313
39	0.6014396128
40	0.5998962207
41	0.5982241506
42	0.5963687494
43	0.5947643347
44	0.5927256001
45	0.5911075094
46	0.5896029997
47	0.5879214536
48	0.5864755023
49	0.5849709221
50	0.5835241551
51	0.5820379912
52	0.5806473096
53	0.5794463463
54	0.5781883631
55	0.5767999911
56	0.5754125751
57	0.5740694873
58	0.572767601
59	0.5713620105
60	0.5702243657
61	0.5690138871
62	0.5677374857
63	0.5664937285
64	0.5650146927
65	0.563776992
66	0.5624783695
67	0.5614117
68	0.5598225346
69	0.5583556273
70	0.5568784037
71	0.5556641182
72	0.5545955398
73	0.5531862849
74	0.5521463719
75	0.551004041
76	0.5499359132
77	0.5489878826
78	0.5479004721
79	0.5468150871
80	0.5454908921
81	0.5443640458
82	0.5433181759
83	0.5420116405
84	0.5410581545
85	0.5400560025
86	0.5390220929
87	0.5378339966
88	0.5368798451
89	0.5357034775
90	0.5345472683
91	0.5336569071
92	0.5324293359
93	0.5316294018
94	0.5305960599
95	0.5294757093
96	0.5286307457
97	0.5277369604
98	0.5269743491
99	0.5259972256
100	0.5250800325
101	0.5239075405
102	0.523042283
103	0.5221018767
104	0.5211568557
105	0.5201322649
106	0.5190305958
107	0.5180833329
108	0.5172456413
109	0.5161529451
110	0.5152545905
111	0.5144233643
112	0.513724749
113	0.5128765308
114	0.5119774045
115	0.5111490902
116	0.5103532849
117	0.5095278098
